url,title,price,fabricante,sku,Articulo,Marca Comercial,Presentacion,Referencia Proveedor,Diametro,Capacidad,Categoria,Subcategoria
https://www.ferreteriasindustriales.es/burletes/1950-burlete-alma-lock-2-bron82-cm-8422588000142.html,Comprar Burlete Bajo Pta 082Cm Torn Cepi Alu Br Almalock-2 Alma| Ferreterias Industriales ,"20,09 €",Alma Componentes S.L.,9574,Burlete Bajo Puerta,Alma,Unidad,4AL2082004,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/8838-burlete-garaje-alum125cmplat-8435159737033.html,Comprar Burlete Bajo Pta 125Cm Torn Flecos Alu Pla Burcasa| Ferreterias Industriales ,"10,33 €","Burcasa Rtmd, S.L.",50078,Burlete Bajo Puerta,Burcasa,Unidad,127440,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/10918-burlete-adheflecos-94cmsapel-8435159736890.html,Comprar Burlete Bajo Pta 094Cm Adh Cepi Alu Sapel Burcasa| Ferreterias Industriales ,"4,49 €","Burcasa Rtmd, S.L.",60964,Burlete Bajo Puerta,Burcasa,Unidad,127300,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/35395-burlete-bajo-pta-105cm-adh-labio-alu-br-burcasa-8435159707791.html,Comprar Burlete Bajo Pta 105Cm Adh Labio Alu Br Burcasa| Ferreterias Industriales ,"7,71 €","Burcasa Rtmd, S.L.",112762,Burlete Bajo Puerta,Burcasa,Unidad,128310,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/6013-burlete-espuma-mac-15mm-x10m-8427492107581.html,Comprar Burlete Pta/Vent. 15Mmx10Mt Adh Espuma Bl Ranger| Ferreterias Industriales ,"3,31 €",Miarco S.L.,28221,Burlete Puerta/Ventana,Ranger,Unidad,10758,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/11137-burlete-adhemad915cmblanco-8435159736968.html,"Comprar Burlete Bajo Pta 091,5Cm Adh Cepi Mad Bl Burcasa| Ferreterias Industriales ","4,53 €","Burcasa Rtmd, S.L.",61755,Burlete Bajo Puerta,Burcasa,Unidad,127370,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/13129-burlete-basculanalum93cmbla-8435159737583.html,Comprar Burlete Bajo Pta 093Cm Torn I/E Cepi Alu Bl Basc Burcasa| Ferreterias Industriales ,"12,16 €","Burcasa Rtmd, S.L.",111139,Burlete Bajo Puerta,Burcasa,Unidad,128260,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/burletes/7633-burlete-alma-lock-2-blan102cm-8422588000357.html,Comprar Burlete Bajo Pta 102Cm Torn Cepi Alu Bl Almalock-2 Alma| Ferreterias Industriales ,"23,44 €",Alma Componentes S.L.,41974,Burlete Bajo Puerta,Alma,Unidad,4AL2102005,,,Para el hogar,Burletes
https://www.ferreteriasindustriales.es/fontaneria/6956-puerta-a-zincado-370x240-c-ce-8427344001197.html,Comprar Puerta Contador Con Cerradura 370X240Mm Met Cinc E Y G| Ferreterias Industriales ,"38,66 €",Carrillo Fructuoso  Raul,34892,Puerta Contador,E Y G,Unidad,70037240,,,Fontanería,Puerta Contador Con Cerradura 370X240Mm Metal E Y G
https://www.ferreteriasindustriales.es/fontaneria/7332-tubo-ext35-80cm11-2-751554-8413380751554.html,"Comprar Tubo Fontan Exten 1""1/2""X35-80Cm Orient Tubo Bl S M| Ferreterias Industriales ","6,10 €","Saneaplast Metalsant, S.L.",38082,Tubo Fontanero,S&M,Unidad,751554,,,Fontanería,"Tubo Fontanero Exten 1""1/2""X35-80Cm Orient Tubo Bl S M"
https://www.ferreteriasindustriales.es/fontaneria/21990-tubo-corrugado-termoflex-16mm-azul-rollo100mt-8436021403056.html,Comprar Tubo Fontan 16Mm 100Mt Corrugado Aiscan Az Termoflex Tra16 1| Ferreterias Industriales ,"26,23 €",Covama Electrica S.L.,109680,Tubo Fontanero,Aiscan S.L.,Rollo 100 Metros,TRA16,16Mm,,Fontanería,Tubo Fontanero 16Mm 100Mt Corrugado Aiscan Az Termoflex Tra16 1
https://www.ferreteriasindustriales.es/fontaneria/21991-tubo-corrugado-termoflex-19mm-azul-rollo50mt-8436021403063.html,Comprar Tubo Fontan 19Mm 50Mt Corrugado Aiscan Az Termoflex Tra19 50| Ferreterias Industriales ,"16,06 €",Covama Electrica S.L.,109682,Tubo Fontanero,Aiscan S.L.,Rollo 50 Metros,TRA19,19Mm,,Fontanería,Tubo Fontanero 19Mm 50Mt Corrugado Aiscan Az Termoflex Tra19 50
https://www.ferreteriasindustriales.es/fontaneria/21993-tubo-corrugado-termoflex-16mm-rojo-rollo100mt-8436021402981.html,Comprar Tubo Fontan 16Mm 100Mt Corrugado Aiscan Ro Termoflex Trr16 1| Ferreterias Industriales ,"26,23 €",Covama Electrica S.L.,109681,Tubo Fontanero,Aiscan S.L.,Rollo 100 Metros,TRR16,16Mm,,Fontanería,Tubo Fontanero 16Mm 100Mt Corrugado Aiscan Ro Termoflex Trr16 1
https://www.ferreteriasindustriales.es/fontaneria/21994-tubo-corrugado-termoflex-19mm-rojo-rollo50mt-8436021402998.html,Comprar Tubo Fontan 19Mm 50Mt Corrugado Aiscan Ro Termoflex Trr19 50| Ferreterias Industriales ,"16,06 €",Covama Electrica S.L.,109683,Tubo Fontanero,Aiscan S.L.,Rollo 50 Metros,TRR19,19Mm,,Fontanería,Tubo Fontanero 19Mm 50Mt Corrugado Aiscan Ro Termoflex Trr19 50
https://www.ferreteriasindustriales.es/material-electrico/26661-punta-prueba-1000v-20a-cat-i-9975-8420738099756.html,Comprar Punta Elec Prueba 20Amp 1000V Cat I Aislada Silver Elect.| Ferreterias Industriales ,"3,11 €",Silver Sanz S.A.,101879,Punta Electricista,Silver Electronics,Unidad,9975,,,Material eléctrico,Punta Electricista Prueba 20Amp 1000V Cat I Aislada Silver 
